# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
  389       2.428393610567e-10       2.917546667313e-12       2.840712247868e-12       0.000000000000e+00       1.783202950741e-13       2.470603429756e-14       2.089703704326e-15 
  390       2.416263485662e-10       2.920436589235e-12       2.575906473325e-12       0.000000000000e+00       1.768191146021e-13       2.428221160076e-14       2.080829713709e-15 
  391       2.404731347783e-10       2.922773802348e-12       2.311480501727e-12       0.000000000000e+00       1.753324339240e-13       2.386375738601e-14       2.071807759820e-15 
  392       2.393795152624e-10       2.924559168354e-12       2.047512717198e-12       0.000000000000e+00       1.738602407597e-13       2.345067132504e-14       2.062639478676e-15 
  393       2.383452641691e-10       2.925793685944e-12       1.784082574394e-12       0.000000000000e+00       1.724025158417e-13       2.304295101380e-14       2.053326549397e-15 
  394       2.373701340534e-10       2.926478491903e-12       1.521270603714e-12       0.000000000000e+00       1.709592328525e-13       2.264059195391e-14       2.043870694471e-15 
  395       2.364538556975e-10       2.926614862212e-12       1.259158416518e-12       0.000000000000e+00       1.695303583613e-13       2.224358753416e-14       2.034273680014e-15 
  396       2.355961379340e-10       2.926204213152e-12       9.978287103325e-13       0.000000000000e+00       1.681158517612e-13       2.185192901195e-14       2.024537316031e-15 
  397       2.347966674689e-10       2.925248102410e-12       7.373652740672e-13       0.000000000000e+00       1.667156652068e-13       2.146560549479e-14       2.014663456679e-15 
  398       2.340551087041e-10       2.923748230182e-12       4.778529932255e-13       0.000000000000e+00       1.653297435508e-13       2.108460392172e-14       2.004654000525e-15 
  399       2.333711035611e-10       2.921706440276e-12       2.193778551174e-13       0.000000000000e+00       1.639580242815e-13       2.070890904487e-14       1.994510890814e-15 
  400       2.327442713035e-10       2.919124721218e-12      -3.797304592897e-14       0.000000000000e+00       1.626004374598e-13       2.033850341082e-14       1.984236115722e-15 
  401       2.321742083601e-10       2.916005207353e-12      -2.941115033544e-13       0.000000000000e+00       1.612569056563e-13       1.997336734215e-14       1.973831708624e-15 
  402       2.316604881482e-10       2.912350179953e-12      -5.489481931570e-13       0.000000000000e+00       1.599273438887e-13       1.961347891888e-14       1.963299748353e-15 
  403       2.312026608958e-10       2.908162068318e-12      -8.023926686794e-13       0.000000000000e+00       1.586116595586e-13       1.925881395995e-14       1.952642359461e-15 
  404       2.308002534655e-10       2.903443450880e-12      -1.054353355397e-12       0.000000000000e+00       1.573097523890e-13       1.890934600468e-14       1.941861712481e-15 
  405       2.304527691769e-10       2.898197056309e-12      -1.304737545705e-12       0.000000000000e+00       1.560215143611e-13       1.856504629423e-14       1.930960024188e-15 
  406       2.301596876299e-10       2.892425764615e-12      -1.553451393708e-12       0.000000000000e+00       1.547468296518e-13       1.822588375310e-14       1.919939557860e-15 
  407       2.299204645275e-10       2.886132608253e-12      -1.800399910005e-12       0.000000000000e+00       1.534855745706e-13       1.789182497058e-14       1.908802623542e-15 
  408       2.297345314986e-10       2.879320773228e-12      -2.045486956479e-12       0.000000000000e+00       1.522376174967e-13       1.756283418223e-14       1.897551578304e-15 
  409       2.296012959217e-10       2.871993600196e-12      -2.288615241085e-12       0.000000000000e+00       1.510028188164e-13       1.723887325132e-14       1.886188826504e-15 
  410       2.295201407470e-10       2.864154585570e-12      -2.529686312636e-12       0.000000000000e+00       1.497810308602e-13       1.691990165035e-14       1.874716820051e-15 
  411       2.294904243200e-10       2.855807382627e-12      -2.768600555593e-12       0.000000000000e+00       1.485720978397e-13       1.660587644248e-14       1.863138058662e-15 
  412       2.295114802043e-10       2.846955802604e-12      -3.005257184852e-12       0.000000000000e+00       1.473758557850e-13       1.629675226301e-14       1.851455090129e-15 
  413       2.295826170045e-10       2.837603815810e-12      -3.239554240529e-12       0.000000000000e+00       1.461921324818e-13       1.599248130087e-14       1.839670510575e-15 
  414       2.297031181892e-10       2.827755552726e-12      -3.471388582754e-12       0.000000000000e+00       1.450207474084e-13       1.569301328006e-14       1.827786964719e-15 
  415       2.298722419143e-10       2.817415305110e-12      -3.700655886451e-12       0.000000000000e+00       1.438615116730e-13       1.539829544114e-14       1.815807146137e-15 
  416       2.300892208454e-10       2.806587527100e-12      -3.927250636133e-12       0.000000000000e+00       1.427142279509e-13       1.510827252268e-14       1.803733797523e-15 
  417       2.303532619816e-10       2.795276836320e-12      -4.151066120685e-12       0.000000000000e+00       1.415786904215e-13       1.482288674276e-14       1.791569710947e-15 
  418       2.306635464774e-10       2.783488014983e-12      -4.371994428153e-12       0.000000000000e+00       1.404546847055e-13       1.454207778041e-14       1.779317728124e-15 
  419       2.310192294669e-10       2.771226010992e-12      -4.589926440532e-12       0.000000000000e+00       1.393419878022e-13       1.426578275711e-14       1.766980740669e-15 
  420       2.314194398857e-10       2.758495939050e-12      -4.804751828556e-12       0.000000000000e+00       1.382403680261e-13       1.399393621822e-14       1.754561690359e-15 
  421       2.318632802947e-10       2.745303081760e-12      -5.016359046481e-12       0.000000000000e+00       1.371495849450e-13       1.372647011449e-14       1.742063569398e-15 
  422       2.323498267027e-10       2.731652890728e-12      -5.224635326876e-12       0.000000000000e+00       1.360693893162e-13       1.346331378351e-14       1.729489420676e-15 
  423       2.328781283893e-10       2.717550987672e-12      -5.429466675410e-12       0.000000000000e+00       1.349995230243e-13       1.320439393117e-14       1.716842338029e-15 
  424       2.334472077281e-10       2.703003165520e-12      -5.630737865641e-12       0.000000000000e+00       1.339397190179e-13       1.294963461316e-14       1.704125466503e-15 
  425       2.340560600099e-10       2.688015389518e-12      -5.828332433802e-12       0.000000000000e+00       1.328897012470e-13       1.269895721643e-14       1.691342002616e-15 
  426       2.347036532649e-10       2.672593798333e-12      -6.022132673588e-12       0.000000000000e+00       1.318491846003e-13       1.245228044061e-14       1.678495194616e-15 
  427       2.353890107574e-10       2.656744932295e-12      -6.212033838993e-12       0.000000000000e+00       1.308179243929e-13       1.220953224358e-14       1.665587958024e-15 
  428       2.361114619182e-10       2.640476424429e-12      -6.397987295613e-12       0.000000000000e+00       1.297958668137e-13       1.197068616314e-14       1.652621707319e-15 
  429       2.368703996011e-10       2.623796335106e-12      -6.579958827174e-12       0.000000000000e+00       1.287830034729e-13       1.173572619460e-14       1.639597485022e-15 
  430       2.376651980607e-10       2.606712928274e-12      -6.757914564238e-12       0.000000000000e+00       1.277793222837e-13       1.150463492776e-14       1.626516342827e-15 
  431       2.384952128301e-10       2.589234672714e-12      -6.931820988313e-12       0.000000000000e+00       1.267848074318e-13       1.127739353626e-14       1.613379341616e-15 
  432       2.393597805981e-10       2.571370243291e-12      -7.101644935975e-12       0.000000000000e+00       1.257994393449e-13       1.105398176687e-14       1.600187551464e-15 
  433       2.402582190862e-10       2.553128522210e-12      -7.267353602984e-12       0.000000000000e+00       1.248231946626e-13       1.083437792887e-14       1.586942051649e-15 
  434       2.411898269260e-10       2.534518600266e-12      -7.428914548399e-12       0.000000000000e+00       1.238560462060e-13       1.061855888330e-14       1.573643930660e-15 
  435       2.421538835367e-10       2.515549778097e-12      -7.586295698698e-12       0.000000000000e+00       1.228979629474e-13       1.040650003237e-14       1.560294286209e-15 
  436       2.431496490020e-10       2.496231567441e-12      -7.739465351893e-12       0.000000000000e+00       1.219489099801e-13       1.019817530871e-14       1.546894225235e-15 
  437       2.441763639477e-10       2.476573692387e-12      -7.888392181646e-12       0.000000000000e+00       1.210088484878e-13       9.993557164746e-15       1.533444863917e-15 
  438       2.452332494186e-10       2.456586090625e-12      -8.033045241388e-12       0.000000000000e+00       1.200777357146e-13       9.792616562012e-15       1.519947327679e-15 
  439       2.463195067562e-10       2.436278914704e-12      -8.173393968436e-12       0.000000000000e+00       1.191555249345e-13       9.595322960465e-15       1.506402751203e-15 
  440       2.474343174757e-10       2.415662533285e-12      -8.309408188108e-12       0.000000000000e+00       1.182421654210e-13       9.401644307822e-15       1.492812278433e-15 
  441       2.485768431432e-10       2.394747532388e-12      -8.441058117842e-12       0.000000000000e+00       1.173376024172e-13       9.211547028881e-15       1.479177062589e-15 
  442       2.497462252533e-10       2.373544716652e-12      -8.568314371312e-12       0.000000000000e+00       1.164417771049e-13       9.024996014849e-15       1.465498266172e-15 
  443       2.509415851061e-10       2.352065110586e-12      -8.691147962544e-12       0.000000000000e+00       1.155546265747e-13       8.841954612666e-15       1.451777060973e-15 
  444       2.521620236844e-10       2.330319959821e-12      -8.809530310036e-12       0.000000000000e+00       1.146760837957e-13       8.662384614331e-15       1.438014628085e-15 
  445       2.534066215313e-10       2.308320732362e-12      -8.923433240870e-12       0.000000000000e+00       1.138060775849e-13       8.486246246229e-15       1.424212157907e-15 
  446       2.546744386272e-10       2.286079119847e-12      -9.032828994835e-12       0.000000000000e+00       1.129445325769e-13       8.313498158455e-15       1.410370850157e-15 
  447       2.559645142670e-10       2.263607038793e-12      -9.137690228540e-12       0.000000000000e+00       1.120913691941e-13       8.144097414139e-15       1.396491913879e-15 
  448       2.572758669378e-10       2.240916631854e-12      -9.237990019529e-12       0.000000000000e+00       1.112465036156e-13       7.977999478775e-15       1.382576567451e-15 
  449       2.586074941957e-10       2.218020269070e-12      -9.333701870405e-12       0.000000000000e+00       1.104098477476e-13       7.815158209543e-15       1.368626038596e-15 
  450       2.599583725432e-10       2.194930549125e-12      -9.424799712941e-12       0.000000000000e+00       1.095813091927e-13       7.655525844638e-15       1.354641564389e-15 
  451       2.613274573068e-10       2.171660300596e-12      -9.511257912197e-12       0.000000000000e+00       1.087607912194e-13       7.499052992593e-15       1.340624391266e-15 
  452       2.627136825137e-10       2.148222583211e-12      -9.593051270641e-12       0.000000000000e+00       1.079481927324e-13       7.345688621604e-15       1.326575775033e-15 
  453       2.641159607695e-10       2.124630689094e-12      -9.670155032263e-12       0.000000000000e+00       1.071434082418e-13       7.195380048861e-15       1.312496980876e-15 
  454       2.655331831353e-10       2.100898144027e-12      -9.742544886692e-12       0.000000000000e+00       1.063463278329e-13       7.048072929866e-15       1.298389283368e-15 
  455       2.669642190051e-10       2.077038708698e-12      -9.810196973313e-12       0.000000000000e+00       1.055568371357e-13       6.903711247765e-15       1.284253966478e-15 
  456       2.684079159829e-10       2.053066379955e-12      -9.873087885387e-12       0.000000000000e+00       1.047748172952e-13       6.762237302671e-15       1.270092323581e-15 
  457       2.698630997600e-10       2.028995392060e-12      -9.931194674163e-12       0.000000000000e+00       1.040001449403e-13       6.623591700990e-15       1.255905657466e-15 
  458       2.713285739924e-10       2.004840217942e-12      -9.984494852997e-12       0.000000000000e+00       1.032326921540e-13       6.487713344746e-15       1.241695280346e-15 
  459       2.728031201780e-10       1.980615570449e-12      -1.003296640147e-11       0.000000000000e+00       1.024723264430e-13       6.354539420908e-15       1.227462513863e-15 
  460       2.742854975337e-10       1.956336403603e-12      -1.007658776951e-11       0.000000000000e+00       1.017189107072e-13       6.224005390715e-15       1.213208689101e-15 
  461       2.757744428730e-10       1.932017913850e-12      -1.011533788149e-11       0.000000000000e+00       1.009723032095e-13       6.096044979001e-15       1.198935146595e-15 
  462       2.772686704831e-10       1.907675541318e-12      -1.014919614037e-11       0.000000000000e+00       1.002323575455e-13       5.970590163522e-15       1.184643236335e-15 
  463       2.787668720019e-10       1.883324971065e-12      -1.017814243180e-11       0.000000000000e+00       9.949892261337e-14       5.847571164280e-15       1.170334317780e-15 
  464       2.802677162959e-10       1.858982134337e-12      -1.020215712824e-11       0.000000000000e+00       9.877184258305e-14       5.726916432852e-15       1.156009759863e-15 
  465       2.817698493370e-10       1.834663209816e-12      -1.022122109306e-11       0.000000000000e+00       9.805095686638e-14       5.608552641710e-15       1.141670941004e-15 
  466       2.832720352927e-10       1.810383577642e-12      -1.023532396138e-11       0.000000000000e+00       9.733612706214e-14       5.492416364032e-15       1.127319235749e-15 
  467       2.847735848922e-10       1.786154643003e-12      -1.024448925838e-11       0.000000000000e+00       9.662731877870e-14       5.378489535846e-15       1.112955974230e-15 
  468       2.862739401833e-10       1.761986915910e-12      -1.024875007271e-11       0.000000000000e+00       9.592452230450e-14       5.266765079258e-15       1.098582481460e-15 
  469       2.877725344830e-10       1.737891050148e-12      -1.024814085938e-11       0.000000000000e+00       9.522772584789e-14       5.157235307769e-15       1.084200090584e-15 
  470       2.892687923326e-10       1.713877843947e-12      -1.024269744838e-11       0.000000000000e+00       9.453691552169e-14       5.049891922047e-15       1.069810142882e-15 
  471       2.907621294529e-10       1.689958240666e-12      -1.023245705337e-11       0.000000000000e+00       9.385207532773e-14       4.944726005700e-15       1.055413987770e-15 
  472       2.922519526992e-10       1.666143329462e-12      -1.021745828037e-11       0.000000000000e+00       9.317318714145e-14       4.841728021046e-15       1.041012982798e-15 
  473       2.937376600167e-10       1.642444345966e-12      -1.019774113647e-11       0.000000000000e+00       9.250023069639e-14       4.740887804888e-15       1.026608493659e-15 
  474       2.952186403950e-10       1.618872672965e-12      -1.017334703844e-11       0.000000000000e+00       9.183318356882e-14       4.642194564282e-15       1.012201894182e-15 
  475       2.966942738243e-10       1.595439841068e-12      -1.014431882148e-11       0.000000000000e+00       9.117202116226e-14       4.545636872314e-15       9.977945663398e-16 
  476       2.981639312493e-10       1.572157529390e-12      -1.011070074786e-11       0.000000000000e+00       9.051671669205e-14       4.451202663866e-15       9.833879002463e-16 
  477       2.996269745254e-10       1.549037566224e-12      -1.007253851563e-11       0.000000000000e+00       8.986724116992e-14       4.358879231393e-15       9.689832941604e-16 
  478       3.010827563732e-10       1.526091929717e-12      -1.002987926725e-11       0.000000000000e+00       8.922356338851e-14       4.268653220693e-15       9.545821544862e-16 
  479       3.025306203339e-10       1.503332748546e-12      -9.982771598349e-12       0.000000000000e+00       8.858564990598e-14       4.180510626678e-15       9.401858957751e-16 
  480       3.039699007243e-10       1.480772302592e-12      -9.931265566331e-12       0.000000000000e+00       8.795346503055e-14       4.094436789148e-15       9.257959407266e-16 
  481       3.053999225920e-10       1.458423023619e-12      -9.875412699100e-12       0.000000000000e+00       8.732697080503e-14       4.010416388563e-15       9.114137201904e-16 
  482       3.068200016707e-10       1.436297495948e-12      -9.815266003725e-12       0.000000000000e+00       8.670612699142e-14       3.928433441811e-15       8.970406731671e-16 
  483       3.082294443349e-10       1.414408457131e-12      -9.750879975125e-12       0.000000000000e+00       8.609089105546e-14       3.848471297986e-15       8.826782468103e-16 
  484       3.096275475556e-10       1.392768798630e-12      -9.682310604748e-12       0.000000000000e+00       8.548121815118e-14       3.770512634155e-15       8.683278964276e-16 
  485       3.110135988549e-10       1.371391566490e-12      -9.609615389252e-12       0.000000000000e+00       8.487706110546e-14       3.694539451133e-15       8.539910854822e-16 
  486       3.123868762616e-10       1.350289962014e-12      -9.532853339189e-12       0.000000000000e+00       8.427837040258e-14       3.620533069253e-15       8.396692855943e-16 
  487       3.137466482660e-10       1.329477342444e-12      -9.452084987678e-12       0.000000000000e+00       8.368509416881e-14       3.548474124140e-15       8.253639765423e-16 
  488       3.150921737752e-10       1.308967221630e-12      -9.367372399097e-12       0.000000000000e+00       8.309717815696e-14       3.478342562481e-15       8.110766462647e-16 
  489       3.164227020682e-10       1.288773270710e-12      -9.278779177754e-12       0.000000000000e+00       8.251456573089e-14       3.410117637797e-15       7.968087908613e-16 
  490       3.177374727510e-10       1.268909318783e-12      -9.186370476572e-12       0.000000000000e+00       8.193719785014e-14       3.343777906218e-15       7.825619145943e-16 
  491       3.190357157119e-10       1.249389353588e-12      -9.090213005772e-12       0.000000000000e+00       8.136501305446e-14       3.279301222252e-15       7.683375298903e-16 
  492       3.203166510763e-10       1.230227522175e-12      -8.990375041549e-12       0.000000000000e+00       8.079794744835e-14       3.216664734556e-15       7.541371573412e-16 
  493       3.215794891623e-10       1.211438131586e-12      -8.886926434755e-12       0.000000000000e+00       8.023593468565e-14       3.155844881711e-15       7.399623257061e-16 
  494       3.228234304353e-10       1.193035649527e-12      -8.779938619583e-12       0.000000000000e+00       7.967890595409e-14       3.096817387994e-15       7.258145719124e-16 
  495       3.240476654637e-10       1.175034705043e-12      -8.669484622242e-12       0.000000000000e+00       7.912678995982e-14       3.039557259146e-15       7.116954410573e-16 
  496       3.252513748735e-10       1.157450089199e-12      -8.555639069642e-12       0.000000000000e+00       7.857951291203e-14       2.984038778149e-15       6.976064864092e-16 
  497       3.264337293039e-10       1.140296755749e-12      -8.438478198073e-12       0.000000000000e+00       7.803699850745e-14       2.930235500993e-15       6.835492694094e-16 
  498       3.275938893622e-10       1.123589821817e-12      -8.318079861888e-12       0.000000000000e+00       7.749916791495e-14       2.878120252454e-15       6.695253596730e-16 
  499       3.287310055789e-10       1.107344568567e-12      -8.194523542180e-12       0.000000000000e+00       7.696593976006e-14       2.827665121861e-15       6.555363349909e-16 
  500       3.298442183628e-10       1.091576441886e-12      -8.067890355467e-12       0.000000000000e+00       7.643723010958e-14       2.778841458867e-15       6.415837813309e-16 
  501       3.309326579566e-10       1.076301053054e-12      -7.938263062370e-12       0.000000000000e+00       7.591295245609e-14       2.731619869228e-15       6.276692928390e-16 
  502       3.319954443913e-10       1.061534179421e-12      -7.805726076295e-12       0.000000000000e+00       7.539301770254e-14       2.685970210568e-15       6.137944718412e-16 
  503       3.330316874418e-10       1.047291765083e-12      -7.670365472114e-12       0.000000000000e+00       7.487733414680e-14       2.641861588152e-15       5.999609288447e-16 
  504       3.340404865822e-10       1.033589921561e-12      -7.532268994846e-12       0.000000000000e+00       7.436580746622e-14       2.599262350663e-15       5.861702825393e-16 
  505       3.350210615832e-10       1.020443040024e-12      -7.391523387204e-12       0.000000000000e+00       7.385835598769e-14       2.558144058605e-15       5.724240433460e-16 
  506       3.359731485343e-10       1.007858066810e-12      -7.248206269945e-12       0.000000000000e+00       7.335495701308e-14       2.518493523850e-15       5.587232603687e-16 
  507       3.368966151427e-10       9.958400643196e-13      -7.102394044712e-12       0.000000000000e+00       7.285560179793e-14       2.480301108610e-15       5.450688642744e-16 
  508       3.377913311383e-10       9.843940843451e-13      -6.954164561415e-12       0.000000000000e+00       7.236028037845e-14       2.443556781804e-15       5.314617827731e-16 
  509       3.386571682905e-10       9.735251678526e-13      -6.803597125653e-12       0.000000000000e+00       7.186898156324e-14       2.408250116704e-15       5.179029405644e-16 
  510       3.394940004247e-10       9.632383447737e-13      -6.650772506136e-12       0.000000000000e+00       7.138169292501e-14       2.374370288567e-15       5.043932592845e-16 
  511       3.403017034384e-10       9.535386337936e-13      -6.495772942106e-12       0.000000000000e+00       7.089840079233e-14       2.341906072273e-15       4.909336574528e-16 
  512       3.410801553181e-10       9.444310421402e-13      -6.338682150759e-12       0.000000000000e+00       7.041909024136e-14       2.310845839965e-15       4.775250504184e-16 
  513       3.418292361557e-10       9.359205653732e-13      -6.179585334667e-12       0.000000000000e+00       6.994374508761e-14       2.281177558684e-15       4.641683503075e-16 
  514       3.425488281650e-10       9.280121871721e-13      -6.018569189198e-12       0.000000000000e+00       6.947234787766e-14       2.252888788009e-15       4.508644659694e-16 
  515       3.432388156980e-10       9.207108791259e-13      -5.855721909942e-12       0.000000000000e+00       6.900487988089e-14       2.225966677691e-15       4.376143029238e-16 
  516       3.438990852615e-10       9.140216005216e-13      -5.691133200128e-12       0.000000000000e+00       6.854132108123e-14       2.200397965296e-15       4.244187633071e-16 
  517       3.445295255337e-10       9.079492981328e-13      -5.524894278049e-12       0.000000000000e+00       6.808165016890e-14       2.176168973838e-15       4.112787458196e-16 
  518       3.451300273807e-10       9.024989060090e-13      -5.357097884480e-12       0.000000000000e+00       6.762584453214e-14       2.153265609416e-15       3.981951456717e-16 
  519       3.457004838725e-10       8.976753452642e-13      -5.187838290106e-12       0.000000000000e+00       6.717388024895e-14       2.131673358858e-15       3.851688545311e-16 
  520       3.462407903004e-10       8.934835238657e-13      -5.017211302936e-12       0.000000000000e+00       6.672573207882e-14       2.111377287350e-15       3.722007604693e-16 
  521       3.467508441926e-10       8.899283364230e-13      -4.845314275733e-12       0.000000000000e+00       6.628137345448e-14       2.092362036081e-15       3.592917479085e-16 
  522       3.472305453310e-10       8.870146639768e-13      -4.672246113428e-12       0.000000000000e+00       6.584077647364e-14       2.074611819874e-15       3.464426975682e-16 
  523       3.476797957681e-10       8.847473737876e-13      -4.498107280547e-12       0.000000000000e+00       6.540391189072e-14       2.058110424829e-15       3.336544864119e-16 
  524       3.480984998428e-10       8.831313191246e-13      -4.322999808630e-12       0.000000000000e+00       6.497074910857e-14       2.042841205959e-15       3.209279875939e-16 
  525       3.484865641973e-10       8.821713390546e-13      -4.147027303655e-12       0.000000000000e+00       6.454125617025e-14       2.028787084826e-15       3.082640704062e-16 
  526       3.488438977936e-10       8.818722582309e-13      -3.970294953458e-12       0.000000000000e+00       6.411539975072e-14       2.015930547179e-15       2.956636002251e-16 
  527       3.491704119299e-10       8.822388866821e-13      -3.792909535154e-12       0.000000000000e+00       6.369314514861e-14       2.004253640594e-15       2.831274384578e-16 
  528       3.494660202568e-10       8.832760196007e-13      -3.614979422562e-12       0.000000000000e+00       6.327445627795e-14       1.993737972108e-15       2.706564424894e-16 
  529       3.497306387944e-10       8.849884371323e-13      -3.436614593624e-12       0.000000000000e+00       6.285929565991e-14       1.984364705859e-15       2.582514656293e-16 
  530       3.499641859483e-10       8.873809041643e-13      -3.257926637827e-12       0.000000000000e+00       6.244762441452e-14       1.976114560724e-15       2.459133570585e-16 
  531       3.501665825263e-10       8.904581701147e-13      -3.079028763625e-12       0.000000000000e+00       6.203940225243e-14       1.968967807953e-15       2.336429617757e-16 
  532       3.503377517549e-10       8.942249687211e-13      -2.900035805863e-12       0.000000000000e+00       6.163458746663e-14       1.962904268811e-15       2.214411205445e-16 
  533       3.504776192954e-10       8.986860178292e-13      -2.721064233195e-12       0.000000000000e+00       6.123313692421e-14       1.957903312214e-15       2.093086698399e-16 
  534       3.505861132611e-10       9.038460191820e-13      -2.542232155507e-12       0.000000000000e+00       6.083500605807e-14       1.953943852364e-15       1.972464417951e-16 
  535       3.506631642333e-10       9.097096582085e-13      -2.363659331340e-12       0.000000000000e+00       6.044014885868e-14       1.951004346391e-15       1.852552641482e-16 
  536       3.507087052777e-10       9.162816038126e-13      -2.185467175312e-12       0.000000000000e+00       6.004851786580e-14       1.949062791987e-15       1.733359601892e-16 
  537       3.507226719613e-10       9.235665081617e-13      -2.007778765538e-12       0.000000000000e+00       5.966006416023e-14       1.948096725046e-15       1.614893487063e-16 
  538       3.507050023685e-10       9.315690064760e-13      -1.830718851052e-12       0.000000000000e+00       5.927473735555e-14       1.948083217299e-15       1.497162439329e-16 
  539       3.506556371179e-10       9.402937168168e-13      -1.654413859229e-12       0.000000000000e+00       5.889248558984e-14       1.948998873954e-15       1.380174554944e-16 
  540       3.505745193785e-10       9.497452398759e-13      -1.478991903208e-12       0.000000000000e+00       5.851325551743e-14       1.950819831333e-15       1.263937883549e-16 
  541       3.504615948864e-10       9.599281587639e-13      -1.304582789313e-12       0.000000000000e+00       5.813699230064e-14       1.953521754509e-15       1.148460427636e-16 
  542       3.503168119613e-10       9.708470387995e-13      -1.131318024473e-12       0.000000000000e+00       5.776363960152e-14       1.957079834943e-15       1.033750142020e-16 
  543       3.501401215227e-10       9.825064272980e-13      -9.593308236469e-13       0.000000000000e+00       5.739313957357e-14       1.961468788124e-15       9.198149333064e-17 
  544       3.499315381872e-10       9.949092974827e-13      -7.887440644879e-13       0.000000000000e+00       5.702544190618e-14       1.966665428426e-15       8.066617897539e-17 
  545       3.496913253222e-10       1.008052334879e-12      -6.196337820127e-13       0.000000000000e+00       5.666053124061e-14       1.972656474226e-15       6.942941463721e-17 
  546       3.494198149766e-10       1.021930524370e-12      -4.520647117266e-13       0.000000000000e+00       5.629840047136e-14       1.979430946981e-15       5.827144482677e-17 
  547       3.491173472892e-10       1.036538693830e-12      -2.861022565421e-13       0.000000000000e+00       5.593904175520e-14       1.986977611592e-15       4.719250129837e-17 
  548       3.487842705301e-10       1.051871513274e-12      -1.218124893226e-13       0.000000000000e+00       5.558244650663e-14       1.995284975077e-15       3.619280296145e-17 
  549       3.484209411416e-10       1.067923494026e-12       4.073784457465e-14       0.000000000000e+00       5.522860539326e-14       2.004341285253e-15       2.527255579212e-17 
  550       3.480277237801e-10       1.084688987873e-12       2.014813247548e-13       0.000000000000e+00       5.487750833119e-14       2.014134529423e-15       1.443195274475e-17 
  551       3.476049913564e-10       1.102162186228e-12       3.603498532422e-13       0.000000000000e+00       5.452914448048e-14       2.024652433047e-15       3.671173663457e-18 
  552       3.471531250777e-10       1.120337119282e-12       5.172746519367e-13       0.000000000000e+00       5.418350224044e-14       2.035882458432e-15      -7.009614806318e-18 
  553       3.466725144883e-10       1.139207655173e-12       6.721862600706e-13       0.000000000000e+00       5.384056924516e-14       2.047811803404e-15      -1.761025930628e-17 
  554       3.461635575109e-10       1.158767499136e-12       8.250145316652e-13       0.000000000000e+00       5.350033235881e-14       2.060427399998e-15      -2.813061985373e-17 
  555       3.456266604883e-10       1.179010192668e-12       9.756886329869e-13       0.000000000000e+00       5.316277767108e-14       2.073715913129e-15      -3.857056993004e-17 
  556       3.450622382237e-10       1.199929112683e-12       1.124137040004e-12       0.000000000000e+00       5.282789049261e-14       2.087663739281e-15      -4.892999656909e-17 
  557       3.444707140228e-10       1.221517470677e-12       1.270287535845e-12       0.000000000000e+00       5.249565535033e-14       2.102257005182e-15      -5.920880044574e-17 
  558       3.438525197345e-10       1.243768311878e-12       1.414067208252e-12       0.000000000000e+00       5.216605598291e-14       2.117481566489e-15      -6.940689596428e-17 
  559       3.432080957923e-10       1.266674514416e-12       1.555402447038e-12       0.000000000000e+00       5.183907533615e-14       2.133323006464e-15      -7.952421134691e-17 
  560       3.425378912552e-10       1.290228788471e-12       1.694218941548e-12       0.000000000000e+00       5.151469555837e-14       2.149766634659e-15      -8.956068872215e-17 
  561       3.418423638496e-10       1.314423675442e-12       1.830441678109e-12       0.000000000000e+00       5.119289799583e-14       2.166797485595e-15      -9.951628421334e-17 
  562       3.411219800097e-10       1.339251547100e-12       1.963994937489e-12       0.000000000000e+00       5.087366318811e-14       2.184400317443e-15      -1.093909680271e-16 
  563       3.403772149193e-10       1.364704604748e-12       2.094802292358e-12       0.000000000000e+00       5.055697086353e-14       2.202559610702e-15      -1.191847245418e-16 
  564       3.396085525527e-10       1.390774878382e-12       2.222786604738e-12       0.000000000000e+00       5.024279993454e-14       2.221259566885e-15      -1.288975523958e-16 
  565       3.388164857159e-10       1.417454225848e-12       2.347870023461e-12       0.000000000000e+00       4.993112849312e-14       2.240484107196e-15      -1.385294645765e-16 
  566       3.380015160883e-10       1.444734332003e-12       2.469973981631e-12       0.000000000000e+00       4.962193380621e-14       2.260216871210e-15      -1.480804885080e-16 
  567       3.371641542631e-10       1.472606707873e-12       2.589019194073e-12       0.000000000000e+00       4.931519231106e-14       2.280441215558e-15      -1.575506661401e-16 
  568       3.363049197892e-10       1.501062689813e-12       2.704925654795e-12       0.000000000000e+00       4.901087961069e-14       2.301140212602e-15      -1.669400540366e-16 
  569       3.354243412119e-10       1.530093438663e-12       2.817612634443e-12       0.000000000000e+00       4.870897046925e-14       2.322296649121e-15      -1.762487234639e-16 
  570       3.345229561148e-10       1.559689938912e-12       2.926998677755e-12       0.000000000000e+00       4.840943880741e-14       2.343893024987e-15      -1.854767604792e-16 
