# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
   40       1.652009625261e-10       7.662035206516e-15       2.359512124272e-13       0.000000000000e+00       8.395028572238e-11       8.776716830946e-12      -6.936445726027e-15 
   41       1.676776259735e-10       8.323105868463e-15       2.266994855815e-13       0.000000000000e+00       7.979399358311e-11       8.387089400858e-12      -6.425240161036e-15 
   42       1.701793530408e-10       9.019758242076e-15       2.160589191934e-13       0.000000000000e+00       7.590711282482e-11       8.016410188464e-12      -6.350937139953e-15 
   43       1.727081699385e-10       9.752707935403e-15       2.039803155655e-13       0.000000000000e+00       7.227930927038e-11       7.666281789328e-12      -6.584928068206e-15 
   44       1.752624980368e-10       1.052264106520e-14       1.904114540179e-13       0.000000000000e+00       6.888416590594e-11       7.337366510597e-12      -6.965024343860e-15 
   45       1.778390242820e-10       1.133017846579e-14       1.753008849995e-13       0.000000000000e+00       6.568861482262e-11       7.029498048366e-12      -7.330422692867e-15 
   46       1.804398048448e-10       1.217575875337e-14       1.586114012947e-13       0.000000000000e+00       6.268761244001e-11       6.742261283729e-12      -7.643983041701e-15 
   47       1.830666892366e-10       1.305971799446e-14       1.403100627137e-13       0.000000000000e+00       5.987765309464e-11       6.474437879893e-12      -7.902957924703e-15 
   48       1.857190672482e-10       1.398231785186e-14       1.203643652233e-13       0.000000000000e+00       5.724631076646e-11       6.223749109696e-12      -8.105160696951e-15 
   49       1.883936465036e-10       1.494374224468e-14       9.874216501281e-14       0.000000000000e+00       5.477157577851e-11       5.986780323911e-12      -8.249013017182e-15 
   50       1.910864769032e-10       1.594412478876e-14       7.541238853213e-14       0.000000000000e+00       5.242848129536e-11       5.759953660628e-12      -8.337588167169e-15 
   51       1.938001878556e-10       1.698364764754e-14       5.034756598544e-14       0.000000000000e+00       5.021264215490e-11       5.542932673930e-12      -8.391924711686e-15 
   52       1.965383309980e-10       1.806246373976e-14       2.352185426934e-14       0.000000000000e+00       4.812195883108e-11       5.336011292025e-12      -8.441408758184e-15 
   53       1.993031910588e-10       1.918066645764e-14      -5.089726917733e-15       0.000000000000e+00       4.614957341557e-11       5.139120766311e-12      -8.520323907567e-15 
   54       2.020956691475e-10       2.033828777536e-14      -3.551133402252e-14       0.000000000000e+00       4.428354936679e-11       4.951803468678e-12      -8.668086776472e-15 
   55       2.049158916431e-10       2.153531891101e-14      -6.776336821049e-14       0.000000000000e+00       4.251051176948e-11       4.773434980208e-12      -8.917348774650e-15 
   56       2.077654813678e-10       2.277178265640e-14      -1.018527390839e-13       0.000000000000e+00       4.082836076383e-11       4.604014992894e-12      -9.254300575827e-15 
   57       2.106456461935e-10       2.404767570241e-14      -1.377802504811e-13       0.000000000000e+00       3.923615546035e-11       4.443526988805e-12      -9.648918960995e-15 
   58       2.135564163591e-10       2.536294666916e-14      -1.755432838270e-13       0.000000000000e+00       3.773026780582e-11       4.291690993542e-12      -1.006600452529e-14 
   59       2.164965560298e-10       2.671749509314e-14      -2.151357213518e-13       0.000000000000e+00       3.630421663790e-11       4.147947047237e-12      -1.046494445695e-14 
   60       2.194634748565e-10       2.811117041452e-14      -2.565478693086e-13       0.000000000000e+00       3.494850173981e-11       4.011438675540e-12      -1.079947531632e-14 
   61       2.224544561519e-10       2.954370281338e-14      -2.997677028546e-13       0.000000000000e+00       3.365324111159e-11       3.881252521680e-12      -1.102831116210e-14 
   62       2.254708636428e-10       3.101447986852e-14      -3.447851009231e-13       0.000000000000e+00       3.241714994475e-11       3.757237490450e-12      -1.115035229931e-14 
   63       2.285147263263e-10       3.252271774204e-14      -3.915884299889e-13       0.000000000000e+00       3.124029177405e-11       3.639340975632e-12      -1.117699452610e-14 
   64       2.315874594349e-10       3.406752179424e-14      -4.401632721290e-13       0.000000000000e+00       3.012137762971e-11       3.527360688774e-12      -1.112206655907e-14 
   65       2.346898177702e-10       3.564788340847e-14      -4.904923901762e-13       0.000000000000e+00       2.905768903592e-11       3.420936257979e-12      -1.100193756145e-14 
